code,iata,icao,lat,lon,name,city,region,country,continent
MIA,MIA,KMIA,25.79325,-80.290556,Miami International Airport,Miami,Florida,United States,North America
FLL,FLL,KFLL,26.072583,-80.15275,Fort Lauderdale-Hollywood International Airport,Fort Lauderdale,Florida,United States,North America
TPA,TPA,KTPA,27.975472,-82.53325,Tampa International Airport,Tampa,Florida,United States,North America
MCO,MCO,KMCO,28.429394,-81.308994,Orlando International Airport,Orlando,Florida,United States,North America
BTR,BTR,KBTR,30.533167,-91.149639,Baton Rouge Metropolitan Airport,Baton Rouge,Louisiana,United States,North America
ATL,ATL,KATL,33.636719,-84.428067,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,North America
RDU,RDU,KRDU,35.877639,-78.787472,Raleigh-Durham International Airport,Raleigh,North Carolina,United States,North America
GSO,GSO,KGSO,36.09775,-79.937306,Piedmont Triad International Airport,Greensboro,North Carolina,United States,North America
RIC,RIC,KRIC,37.505167,-77.319667,Richmond International Airport,Richmond,Virginia,United States,North America
DCA,DCA,KDCA,38.852083,-77.037722,Ronald Reagan Washington National Airport,Washington D.C.,Virginia,United States,North America
IAD,IAD,KIAD,38.944533,-77.455811,Washington Dulles International Airport,Washington D.C.,Virginia,United States,North America
PHL,PHL,KPHL,39.871944,-75.241139,Philadelphia International Airport,Philadelphia,Pennsylvania,United States,North America
BDL,BDL,KBDL,41.938889,-72.683222,Bradley International Airport,Hartford,Connecticut,United States,North America
ROC,ROC,KROC,43.118866,-77.672389,Greater Rochester International Airport,Rochester,New York,United States,North America
CLE,CLE,KCLE,41.411689,-81.849794,Cleveland Hopkins International Airport,Cleveland,Ohio,United States,North America
CMH,CMH,KCMH,39.997972,-82.891889,Port Columbus International Airport,Columbus,Ohio,United States,North America
BNA,BNA,KBNA,36.124472,-86.678194,Nashville International Airport,Nashville,Tennessee,United States,North America
TYS,TYS,KTYS,35.810972,-83.994028,McGhee Tyson Airport,Knoxville,Tennessee,United States,North America
IAH,IAH,KIAH,29.984433,-95.341442,George Bush Intercontinental Airport,Houston,Texas,United States,North America
HOU,HOU,KHOU,29.645419,-95.278889,William P. Hobby Airport,Houston,Texas,United States,North America
AUS,AUS,KAUS,30.194528,-97.669889,Austin-Bergstrom International Airport,Austin,Texas,United States,North America
SAT,SAT,KSAT,29.533694,-98.469778,San Antonio International Airport,San Antonio,Texas,United States,North America
MFE,MFE,KMFE,26.175833,-98.238611,McAllen-Miller International Airport,McAllen,Texas,United States,North America
LBB,LBB,KLBB,33.663639,-101.822778,Lubbock Preston Smith International Airport,Lubbock,Texas,United States,North America
AMA,AMA,KAMA,35.219369,-101.705931,Rick Husband Amarillo International Airport,Amarillo,Texas,United States,North America
ELP,ELP,KELP,31.80725,-106.377583,El Paso International Airport,El Paso,Texas,United States,North America
TUS,TUS,KTUS,32.116083,-110.941028,Tucson International Airport,Tucson,Arizona,United States,North America
PHX,PHX,KPHX,33.434278,-112.011583,Phoenix Sky Harbor International Airport,Phoenix,Arizona,United States,North America
PSP,PSP,KPSP,33.829667,-116.506694,Palm Springs International Airport,Palm Springs,California,United States,North America
SAN,SAN,KSAN,32.733556,-117.189667,San Diego International Airport,San Diego,California,United States,North America
LGB,LGB,KLGB,33.817722,-118.151611,Long Beach Airport,Los Angeles,California,United States,North America
IYK,IYK,KIYK,35.658889,-117.829444,Inyokern Airport,Inyokern,California,United States,North America
